log_id,date,machine_id,maintenance_type,technician_notes,downtime_hours,parts_replaced,cost_idr
ML-0271,2025-07-16,M-14,Preventive,"Inspeksi rutin, ganti oli",6.4,Valve,2633180
ML-0272,2025-08-14,M-09,Preventive,"Kalibrasi sensor, bersihkan filter",7.2,Pump,2617747
ML-0273,2025-10-19,M-13,Preventive,"Inspeksi rutin, ganti oli",6.3,Bearing,819506
ML-0274,2025-11-08,M-15,Preventive,"Cek electrical connection, test safety switch",4.3,Sensor,1627444
ML-0275,2025-12-21,M-03,Emergency,Short circuit pada panel kontrol,57.0,Bearing,41519280
ML-0276,2025-07-27,M-10,Emergency,Kegagalan sistem pendingin kritis,31.8,Motor,46215252
ML-0277,2025-08-16,M-13,Preventive,"Ganti filter udara, cek bearing",5.1,Filter,2568372
ML-0278,2025-08-25,M-02,Corrective,"Sensor rusak, ganti sensor baru",9.5,Sensor,13342958
ML-0279,2025-12-26,M-04,Emergency,Short circuit pada panel kontrol,62.8,Filter,31879641
ML-0280,2025-07-04,M-15,Preventive,"Ganti filter udara, cek bearing",6.5,Sensor,2622467
ML-0281,2025-10-10,M-03,Preventive,"Ganti filter udara, cek bearing",3.0,Seal,1854780
ML-0282,2025-10-13,M-11,Preventive,"Lubrikasi komponen, cek belt",2.9,N/A,2591688
ML-0283,2025-09-20,M-12,Corrective,"Kebocoran pressure line, ganti seal",17.0,Motor,13977574
ML-0284,2025-09-26,M-12,Emergency,Kebocoran besar pada hydraulic system,53.6,N/A,47772401
ML-0285,2025-08-27,M-13,Preventive,"Kalibrasi sensor, bersihkan filter",5.5,Valve,1642881
ML-0286,2025-12-14,M-17,Preventive,"Lubrikasi komponen, cek belt",6.9,Filter,978151
ML-0287,2025-10-28,M-15,Corrective,"Sensor rusak, ganti sensor baru",14.3,Bearing,7839647
ML-0288,2025-12-18,M-04,Preventive,"Kalibrasi sensor, bersihkan filter",3.8,Motor,2860700
ML-0289,2025-09-23,M-06,Preventive,"Kalibrasi sensor, bersihkan filter",3.6,Filter,1805396
ML-0290,2025-09-02,M-09,Preventive,"Cek electrical connection, test safety switch",3.1,Belt,1651572
ML-0291,2025-08-24,M-05,Preventive,"Ganti filter udara, cek bearing",7.6,Belt,1965848
ML-0292,2025-07-25,M-18,Preventive,"Cek electrical connection, test safety switch",2.8,Bearing,711003
ML-0293,2025-07-25,M-14,Preventive,"Kalibrasi sensor, bersihkan filter",5.4,Sensor,2236007
ML-0294,2025-12-25,M-02,Corrective,"Kebocoran pressure line, ganti seal",22.8,Filter,14776582
ML-0295,2025-12-27,M-10,Emergency,Short circuit pada panel kontrol,68.6,Belt,28908643
ML-0296,2025-11-25,M-12,Preventive,"Cek electrical connection, test safety switch",7.4,Motor,1699418
ML-0297,2025-12-24,M-02,Corrective,"Bearing aus, perlu penggantian",10.7,Pump,7135886
ML-0298,2025-11-11,M-09,Preventive,"Lubrikasi komponen, cek belt",3.1,Pump,1792644
ML-0299,2025-08-17,M-20,Preventive,"Inspeksi rutin, ganti oli",4.6,Belt,2491601
ML-0300,2025-10-17,M-05,Emergency,Kebocoran besar pada hydraulic system,60.5,Motor,22378000
ML-0301,2025-10-27,M-14,Preventive,"Lubrikasi komponen, cek belt",4.5,Pump,1978180
ML-0302,2025-09-19,M-13,Corrective,"Bearing aus, perlu penggantian",16.6,Sensor,14729374
ML-0303,2025-08-13,M-04,Preventive,"Lubrikasi komponen, cek belt",6.2,Motor,1783073
ML-0304,2025-12-26,M-19,Preventive,"Kalibrasi sensor, bersihkan filter",4.4,Bearing,1219876
ML-0305,2025-12-12,M-12,Emergency,Kegagalan sistem pendingin kritis,65.6,Bearing,35816370
ML-0306,2025-08-31,M-06,Preventive,"Ganti filter udara, cek bearing",4.2,Filter,1993943
ML-0307,2025-08-22,M-05,Preventive,"Kalibrasi sensor, bersihkan filter",8.0,Belt,2310793
ML-0308,2025-12-21,M-15,Emergency,Kebocoran besar pada hydraulic system,30.0,Bearing,32250577
ML-0309,2025-07-03,M-06,Corrective,"Bearing aus, perlu penggantian",15.2,Sensor,12265706
ML-0310,2025-09-23,M-10,Preventive,"Ganti filter udara, cek bearing",6.7,Valve,1593906
ML-0311,2025-10-19,M-13,Emergency,"Mesin berhenti total, kerusakan motor utama",58.6,N/A,20455696
ML-0312,2025-11-24,M-12,Corrective,"Belt putus, ganti belt dan pulley",8.3,Motor,12219556
ML-0313,2025-08-27,M-03,Corrective,"Motor overheat, ganti komponen pendingin",10.6,Belt,7599516
ML-0314,2025-12-08,M-07,Preventive,"Inspeksi rutin, ganti oli",4.8,Seal,2963361
ML-0315,2025-07-15,M-11,Corrective,"Sensor rusak, ganti sensor baru",8.4,Pump,4792865
ML-0316,2025-08-11,M-03,Corrective,"Sensor rusak, ganti sensor baru",13.8,Seal,6272346
ML-0317,2025-08-29,M-20,Corrective,"Sensor rusak, ganti sensor baru",9.4,Valve,14100635
ML-0318,2025-09-26,M-18,Preventive,"Cek electrical connection, test safety switch",3.3,N/A,2104352
ML-0319,2025-09-15,M-18,Preventive,"Inspeksi rutin, ganti oli",4.6,N/A,2388413
ML-0320,2025-09-21,M-06,Emergency,Kebocoran besar pada hydraulic system,36.8,Seal,31412880
ML-0321,2025-10-28,M-13,Preventive,"Lubrikasi komponen, cek belt",7.3,Seal,2737849
ML-0322,2025-07-22,M-18,Preventive,"Ganti filter udara, cek bearing",5.7,Seal,1478655
ML-0323,2025-12-10,M-08,Corrective,"Kebocoran pressure line, ganti seal",11.0,Seal,14013303
ML-0324,2025-09-18,M-11,Preventive,"Cek electrical connection, test safety switch",5.0,Valve,2946876
ML-0325,2025-10-19,M-16,Preventive,"Lubrikasi komponen, cek belt",4.6,Filter,2796044
ML-0326,2025-11-30,M-06,Preventive,"Inspeksi rutin, ganti oli",7.1,Pump,900574
ML-0327,2025-11-07,M-07,Emergency,"Mesin berhenti total, kerusakan motor utama",30.0,N/A,38591851
ML-0328,2025-07-27,M-11,Corrective,"Motor overheat, ganti komponen pendingin",10.4,Filter,9068074
ML-0329,2025-08-16,M-14,Corrective,"Bearing aus, perlu penggantian",16.5,Bearing,7479768
ML-0330,2025-12-28,M-09,Emergency,Short circuit pada panel kontrol,44.1,Belt,40419310
ML-0331,2025-12-11,M-01,Corrective,"Sensor rusak, ganti sensor baru",17.1,Sensor,7538679
ML-0332,2025-08-08,M-09,Preventive,"Kalibrasi sensor, bersihkan filter",7.3,Bearing,1753128
ML-0333,2025-07-12,M-04,Preventive,"Lubrikasi komponen, cek belt",6.8,N/A,2032477
ML-0334,2025-11-16,M-16,Corrective,"Belt putus, ganti belt dan pulley",21.4,N/A,6717209
ML-0335,2025-11-09,M-15,Corrective,"Belt putus, ganti belt dan pulley",18.6,Belt,8145489
ML-0336,2025-11-17,M-13,Corrective,"Sensor rusak, ganti sensor baru",11.3,Pump,5580500
ML-0337,2025-11-29,M-09,Preventive,"Cek electrical connection, test safety switch",6.3,Pump,2702085
ML-0338,2025-09-18,M-07,Corrective,"Belt putus, ganti belt dan pulley",23.8,Belt,9279550
ML-0339,2025-11-04,M-01,Preventive,"Ganti filter udara, cek bearing",5.0,Bearing,2323582
ML-0340,2025-12-08,M-03,Preventive,"Lubrikasi komponen, cek belt",2.4,Motor,1904113
ML-0341,2025-09-12,M-06,Preventive,"Lubrikasi komponen, cek belt",5.1,Belt,1164621
ML-0342,2025-10-26,M-18,Preventive,"Inspeksi rutin, ganti oli",2.3,Filter,2459410
ML-0343,2025-10-28,M-11,Corrective,"Bearing aus, perlu penggantian",19.1,Valve,12434396
ML-0344,2025-12-22,M-13,Preventive,"Lubrikasi komponen, cek belt",2.1,Bearing,1199051
ML-0345,2025-08-20,M-19,Preventive,"Inspeksi rutin, ganti oli",7.4,N/A,2920140
ML-0346,2025-11-16,M-12,Preventive,"Cek electrical connection, test safety switch",2.3,Seal,959794
ML-0347,2025-11-01,M-05,Corrective,"Bearing aus, perlu penggantian",12.9,N/A,14830988
ML-0348,2025-11-08,M-20,Preventive,"Cek electrical connection, test safety switch",4.9,Seal,1198457
ML-0349,2025-10-06,M-17,Corrective,"Sensor rusak, ganti sensor baru",10.8,Filter,6417719
ML-0350,2025-07-25,M-09,Emergency,Short circuit pada panel kontrol,37.4,Sensor,44256249
ML-0351,2025-07-18,M-09,Corrective,"Belt putus, ganti belt dan pulley",9.1,Valve,6132925
ML-0352,2025-07-30,M-08,Corrective,"Bearing aus, perlu penggantian",19.1,Filter,7056606
ML-0353,2025-11-11,M-14,Emergency,"Mesin berhenti total, kerusakan motor utama",26.0,Motor,19001956
ML-0354,2025-08-13,M-06,Preventive,"Ganti filter udara, cek bearing",5.5,Belt,1800025
ML-0355,2025-12-15,M-20,Emergency,Kebocoran besar pada hydraulic system,70.8,Filter,19488966
ML-0356,2025-11-04,M-13,Preventive,"Kalibrasi sensor, bersihkan filter",6.9,Bearing,1291951
ML-0357,2025-11-22,M-06,Emergency,Kegagalan sistem pendingin kritis,18.5,Pump,17593294
ML-0358,2025-11-08,M-05,Emergency,"Mesin berhenti total, kerusakan motor utama",42.1,N/A,48111730
ML-0359,2025-08-09,M-15,Corrective,"Sensor rusak, ganti sensor baru",12.8,Pump,14947792
ML-0360,2025-08-17,M-12,Preventive,"Inspeksi rutin, ganti oli",3.4,Seal,2486953
ML-0361,2025-07-07,M-18,Preventive,"Inspeksi rutin, ganti oli",5.7,Bearing,1156895
ML-0362,2025-09-28,M-12,Preventive,"Inspeksi rutin, ganti oli",5.7,Bearing,2804974
ML-0363,2025-11-20,M-04,Corrective,"Sensor rusak, ganti sensor baru",14.3,Belt,9150448
ML-0364,2025-10-26,M-10,Preventive,"Cek electrical connection, test safety switch",5.5,Bearing,860455
ML-0365,2025-09-07,M-19,Emergency,"Mesin berhenti total, kerusakan motor utama",54.0,Filter,11511932
ML-0366,2025-10-08,M-20,Corrective,"Motor overheat, ganti komponen pendingin",16.7,N/A,14720628
ML-0367,2025-11-11,M-10,Emergency,Kegagalan sistem pendingin kritis,52.4,Filter,21672005
ML-0368,2025-12-26,M-11,Preventive,"Cek electrical connection, test safety switch",3.4,Filter,688330
ML-0369,2025-12-08,M-09,Corrective,"Kebocoran pressure line, ganti seal",17.6,N/A,13396936
ML-0370,2025-09-01,M-05,Corrective,"Kebocoran pressure line, ganti seal",23.3,Valve,10042742
ML-0371,2025-10-16,M-02,Preventive,"Ganti filter udara, cek bearing",7.9,Pump,1338212
ML-0372,2025-07-10,M-16,Preventive,"Ganti filter udara, cek bearing",2.6,Motor,1695819
ML-0373,2025-12-14,M-19,Emergency,"Mesin berhenti total, kerusakan motor utama",40.0,Bearing,35184752
ML-0374,2025-09-24,M-16,Preventive,"Cek electrical connection, test safety switch",3.8,Motor,1140088
ML-0375,2025-09-01,M-19,Corrective,"Motor overheat, ganti komponen pendingin",12.6,N/A,7506725
ML-0376,2025-12-19,M-05,Preventive,"Kalibrasi sensor, bersihkan filter",3.8,Seal,1037307
ML-0377,2025-12-14,M-19,Preventive,"Cek electrical connection, test safety switch",4.7,Motor,2137172
ML-0378,2025-10-06,M-02,Corrective,"Sensor rusak, ganti sensor baru",22.7,Valve,6272148
ML-0379,2025-07-24,M-19,Preventive,"Cek electrical connection, test safety switch",5.1,Filter,1507555
ML-0380,2025-11-20,M-10,Corrective,"Sensor rusak, ganti sensor baru",16.7,Filter,8335349
ML-0381,2025-10-13,M-03,Preventive,"Inspeksi rutin, ganti oli",4.5,Motor,2353178
ML-0382,2025-07-20,M-11,Preventive,"Inspeksi rutin, ganti oli",5.1,Seal,1412613
ML-0383,2025-07-01,M-01,Corrective,"Sensor rusak, ganti sensor baru",17.7,Motor,3306114
ML-0384,2025-08-25,M-07,Preventive,"Kalibrasi sensor, bersihkan filter",6.7,Filter,801118
ML-0385,2025-08-28,M-07,Preventive,"Cek electrical connection, test safety switch",7.9,Filter,2140286
ML-0386,2025-07-07,M-08,Corrective,"Motor overheat, ganti komponen pendingin",23.8,Valve,14652477
ML-0387,2025-10-13,M-19,Preventive,"Lubrikasi komponen, cek belt",5.2,Filter,1116610
ML-0388,2025-09-14,M-10,Preventive,"Ganti filter udara, cek bearing",7.2,Seal,1879398
ML-0389,2025-09-12,M-16,Corrective,"Kebocoran pressure line, ganti seal",18.9,Sensor,3275546
ML-0390,2025-10-29,M-07,Emergency,"Mesin berhenti total, kerusakan motor utama",26.9,Bearing,29848805
ML-0391,2025-10-08,M-11,Preventive,"Kalibrasi sensor, bersihkan filter",3.7,Valve,2500378
ML-0392,2025-11-12,M-08,Emergency,Kebocoran besar pada hydraulic system,27.3,Pump,21687706
ML-0393,2025-07-04,M-19,Preventive,"Kalibrasi sensor, bersihkan filter",3.4,Motor,1300082
ML-0394,2025-07-02,M-03,Corrective,"Kebocoran pressure line, ganti seal",15.5,Pump,3898467
ML-0395,2025-12-05,M-01,Preventive,"Lubrikasi komponen, cek belt",2.8,Valve,2431337
ML-0396,2025-07-07,M-13,Corrective,"Belt putus, ganti belt dan pulley",9.2,Valve,12877962
ML-0397,2025-09-11,M-09,Corrective,"Motor overheat, ganti komponen pendingin",9.4,Valve,5676645
ML-0398,2025-10-28,M-13,Corrective,"Belt putus, ganti belt dan pulley",21.7,N/A,10881501
ML-0399,2025-08-19,M-20,Preventive,"Cek electrical connection, test safety switch",3.1,Motor,2629017
ML-0400,2025-12-05,M-16,Preventive,"Inspeksi rutin, ganti oli",2.2,Seal,1720788
ML-0401,2025-09-04,M-06,Preventive,"Lubrikasi komponen, cek belt",7.4,N/A,1171793
ML-0402,2025-10-03,M-11,Corrective,"Motor overheat, ganti komponen pendingin",10.4,Bearing,8266147
ML-0403,2025-09-20,M-17,Preventive,"Kalibrasi sensor, bersihkan filter",4.9,Motor,990223
ML-0404,2025-09-06,M-13,Preventive,"Kalibrasi sensor, bersihkan filter",6.9,N/A,2758428
ML-0405,2025-07-17,M-14,Preventive,"Kalibrasi sensor, bersihkan filter",2.1,Motor,2552814
ML-0406,2025-11-01,M-13,Corrective,"Motor overheat, ganti komponen pendingin",10.7,Seal,12406341
ML-0407,2025-07-04,M-04,Corrective,"Kebocoran pressure line, ganti seal",13.2,Pump,14503206
ML-0408,2025-09-03,M-15,Preventive,"Inspeksi rutin, ganti oli",4.8,Bearing,2063357
ML-0409,2025-12-03,M-16,Preventive,"Cek electrical connection, test safety switch",2.2,Pump,2905754
ML-0410,2025-07-31,M-06,Preventive,"Lubrikasi komponen, cek belt",7.2,N/A,2216477
ML-0411,2025-10-22,M-10,Emergency,Kegagalan sistem pendingin kritis,34.5,Sensor,34927802
ML-0412,2025-08-06,M-13,Corrective,"Belt putus, ganti belt dan pulley",11.1,N/A,10542955
ML-0413,2025-10-30,M-14,Preventive,"Kalibrasi sensor, bersihkan filter",3.3,Belt,941765
ML-0414,2025-09-21,M-02,Preventive,"Kalibrasi sensor, bersihkan filter",4.7,Belt,1044349
ML-0415,2025-10-10,M-14,Corrective,"Motor overheat, ganti komponen pendingin",16.3,Valve,13068020
ML-0416,2025-12-23,M-12,Preventive,"Inspeksi rutin, ganti oli",2.6,N/A,2416476
ML-0417,2025-07-29,M-07,Preventive,"Inspeksi rutin, ganti oli",4.4,Valve,618971
ML-0418,2025-09-20,M-11,Preventive,"Inspeksi rutin, ganti oli",2.6,Sensor,2282974
ML-0419,2025-11-10,M-02,Preventive,"Inspeksi rutin, ganti oli",8.0,Sensor,2561045
ML-0420,2025-10-28,M-14,Emergency,"Mesin berhenti total, kerusakan motor utama",19.9,Bearing,31795103
ML-0421,2025-09-05,M-03,Corrective,"Bearing aus, perlu penggantian",18.5,Sensor,14618413
ML-0422,2025-10-06,M-05,Emergency,Short circuit pada panel kontrol,46.6,Bearing,35651456
ML-0423,2025-08-02,M-06,Corrective,"Motor overheat, ganti komponen pendingin",11.0,Motor,12925805
ML-0424,2025-12-08,M-02,Preventive,"Ganti filter udara, cek bearing",7.5,N/A,1393447
ML-0425,2025-11-09,M-18,Preventive,"Inspeksi rutin, ganti oli",3.3,N/A,2743406
ML-0426,2025-11-03,M-18,Corrective,"Sensor rusak, ganti sensor baru",18.6,Sensor,6052977
ML-0427,2025-08-26,M-10,Corrective,"Kebocoran pressure line, ganti seal",17.5,Pump,13283469
ML-0428,2025-07-16,M-15,Corrective,"Kebocoran pressure line, ganti seal",22.1,Filter,3502179
ML-0429,2025-08-07,M-10,Emergency,Short circuit pada panel kontrol,38.2,Belt,18435665
ML-0430,2025-11-22,M-03,Emergency,Short circuit pada panel kontrol,39.3,N/A,18601918
ML-0431,2025-08-08,M-07,Corrective,"Bearing aus, perlu penggantian",18.1,Motor,13353803
ML-0432,2025-08-27,M-09,Corrective,"Bearing aus, perlu penggantian",22.7,Bearing,10881421
ML-0433,2025-07-23,M-11,Preventive,"Inspeksi rutin, ganti oli",4.6,Belt,897173
ML-0434,2025-12-12,M-09,Corrective,"Bearing aus, perlu penggantian",10.6,Pump,5052326
ML-0435,2025-10-31,M-15,Preventive,"Cek electrical connection, test safety switch",3.0,Seal,642529
ML-0436,2025-09-29,M-16,Preventive,"Ganti filter udara, cek bearing",3.0,Bearing,1889704
ML-0437,2025-08-16,M-13,Corrective,"Belt putus, ganti belt dan pulley",14.0,N/A,10912503
ML-0438,2025-10-13,M-04,Corrective,"Kebocoran pressure line, ganti seal",9.8,N/A,14930964
ML-0439,2025-11-12,M-14,Preventive,"Cek electrical connection, test safety switch",5.7,Seal,2112605
ML-0440,2025-12-10,M-03,Corrective,"Motor overheat, ganti komponen pendingin",17.9,Filter,11357954
ML-0441,2025-07-14,M-18,Preventive,"Inspeksi rutin, ganti oli",2.9,Bearing,1261082
ML-0442,2025-09-10,M-17,Corrective,"Motor overheat, ganti komponen pendingin",22.1,Bearing,10939184
ML-0443,2025-09-16,M-20,Preventive,"Lubrikasi komponen, cek belt",2.8,Belt,2443639
ML-0444,2025-11-04,M-14,Preventive,"Kalibrasi sensor, bersihkan filter",3.7,Valve,1868887
ML-0445,2025-12-28,M-16,Corrective,"Kebocoran pressure line, ganti seal",20.6,Valve,6725116
ML-0446,2025-10-04,M-05,Corrective,"Bearing aus, perlu penggantian",12.5,Valve,6403440
ML-0447,2025-08-26,M-01,Emergency,Short circuit pada panel kontrol,33.5,Bearing,31560747
ML-0448,2025-07-25,M-20,Corrective,"Kebocoran pressure line, ganti seal",10.8,Sensor,7022928
ML-0449,2025-09-20,M-15,Emergency,Kegagalan sistem pendingin kritis,35.2,Belt,39460671
ML-0450,2025-12-15,M-14,Preventive,"Ganti filter udara, cek bearing",2.7,Belt,1880539
ML-0451,2025-08-25,M-06,Emergency,"Mesin berhenti total, kerusakan motor utama",39.7,Seal,19585379
ML-0452,2025-08-13,M-12,Preventive,"Kalibrasi sensor, bersihkan filter",7.4,Filter,2564664
ML-0453,2025-12-21,M-12,Corrective,"Belt putus, ganti belt dan pulley",21.0,Sensor,12200293
ML-0454,2025-12-06,M-13,Preventive,"Lubrikasi komponen, cek belt",2.7,N/A,2433645
ML-0455,2025-11-28,M-18,Corrective,"Kebocoran pressure line, ganti seal",21.9,Bearing,6950963
ML-0456,2025-12-11,M-10,Preventive,"Cek electrical connection, test safety switch",6.0,N/A,844035
ML-0457,2025-08-10,M-13,Preventive,"Lubrikasi komponen, cek belt",7.0,Filter,2670945
ML-0458,2025-10-12,M-20,Corrective,"Bearing aus, perlu penggantian",21.0,Filter,8285067
ML-0459,2025-12-21,M-09,Emergency,Short circuit pada panel kontrol,48.3,Belt,45649130
ML-0460,2025-09-23,M-18,Preventive,"Cek electrical connection, test safety switch",2.5,Sensor,2954004
ML-0461,2025-07-20,M-20,Preventive,"Lubrikasi komponen, cek belt",5.4,Motor,525208
ML-0462,2025-12-09,M-14,Emergency,"Mesin berhenti total, kerusakan motor utama",64.8,Seal,23330264
ML-0463,2025-12-03,M-16,Emergency,Short circuit pada panel kontrol,25.9,Sensor,34533723
ML-0464,2025-11-29,M-17,Preventive,"Lubrikasi komponen, cek belt",7.6,Bearing,1209869
ML-0465,2025-07-25,M-11,Corrective,"Motor overheat, ganti komponen pendingin",11.7,Sensor,13019147
ML-0466,2025-08-01,M-08,Corrective,"Bearing aus, perlu penggantian",9.4,Bearing,14788187
ML-0467,2025-11-04,M-07,Corrective,"Sensor rusak, ganti sensor baru",12.9,Sensor,9864650
ML-0468,2025-09-25,M-02,Preventive,"Inspeksi rutin, ganti oli",4.4,Sensor,1782399
ML-0469,2025-09-30,M-17,Corrective,"Bearing aus, perlu penggantian",16.9,N/A,4548189
ML-0470,2025-10-10,M-11,Emergency,Kegagalan sistem pendingin kritis,35.6,Belt,10495077
ML-0471,2025-08-18,M-10,Preventive,"Lubrikasi komponen, cek belt",7.5,Motor,1486598
ML-0472,2025-09-14,M-20,Preventive,"Ganti filter udara, cek bearing",3.9,Seal,993906
ML-0473,2025-11-21,M-08,Preventive,"Lubrikasi komponen, cek belt",7.8,Motor,2421582
ML-0474,2025-08-25,M-06,Corrective,"Belt putus, ganti belt dan pulley",22.5,Belt,9709527
ML-0475,2025-12-10,M-01,Corrective,"Bearing aus, perlu penggantian",17.3,Belt,10836144
ML-0476,2025-08-22,M-14,Corrective,"Bearing aus, perlu penggantian",22.2,Bearing,3323082
ML-0477,2025-08-27,M-15,Preventive,"Kalibrasi sensor, bersihkan filter",7.4,Filter,2139448
ML-0478,2025-09-27,M-07,Corrective,"Bearing aus, perlu penggantian",12.2,N/A,3171503
ML-0479,2025-11-30,M-02,Preventive,"Inspeksi rutin, ganti oli",6.3,Valve,1641143
ML-0480,2025-09-05,M-20,Preventive,"Lubrikasi komponen, cek belt",6.1,Motor,948169
ML-0481,2025-11-22,M-20,Corrective,"Kebocoran pressure line, ganti seal",20.2,Bearing,11855331
ML-0482,2025-12-20,M-20,Preventive,"Ganti filter udara, cek bearing",4.8,Bearing,2378764
ML-0483,2025-09-10,M-18,Emergency,Kebocoran besar pada hydraulic system,56.1,Bearing,39108020
ML-0484,2025-09-09,M-04,Corrective,"Belt putus, ganti belt dan pulley",19.7,N/A,6473231
ML-0485,2025-07-12,M-08,Corrective,"Motor overheat, ganti komponen pendingin",11.9,N/A,8143456
ML-0486,2025-12-08,M-04,Preventive,"Inspeksi rutin, ganti oli",7.8,N/A,2331966
ML-0487,2025-07-20,M-02,Preventive,"Kalibrasi sensor, bersihkan filter",2.9,Motor,1006527
ML-0488,2025-09-29,M-06,Corrective,"Kebocoran pressure line, ganti seal",13.1,Seal,14223323
ML-0489,2025-08-24,M-08,Corrective,"Kebocoran pressure line, ganti seal",13.7,Bearing,6863373
ML-0490,2025-09-20,M-14,Preventive,"Inspeksi rutin, ganti oli",3.9,Belt,1474615
ML-0491,2025-09-25,M-06,Preventive,"Kalibrasi sensor, bersihkan filter",2.4,Belt,1453330
ML-0492,2025-10-17,M-18,Preventive,"Lubrikasi komponen, cek belt",2.1,N/A,2220410
ML-0493,2025-07-18,M-14,Preventive,"Cek electrical connection, test safety switch",5.3,N/A,2810297
ML-0494,2025-11-19,M-14,Corrective,"Motor overheat, ganti komponen pendingin",21.0,Filter,3630560
ML-0495,2025-12-01,M-04,Emergency,"Mesin berhenti total, kerusakan motor utama",56.9,Filter,28228761
ML-0496,2025-08-24,M-08,Preventive,"Ganti filter udara, cek bearing",2.6,Pump,1277345
ML-0497,2025-11-03,M-13,Corrective,"Sensor rusak, ganti sensor baru",22.2,Sensor,9863746
ML-0498,2025-09-07,M-11,Emergency,Short circuit pada panel kontrol,36.4,N/A,11168649
ML-0499,2025-09-12,M-05,Preventive,"Lubrikasi komponen, cek belt",2.5,Valve,1170373
ML-0500,2025-07-20,M-01,Preventive,"Kalibrasi sensor, bersihkan filter",2.0,Belt,2874865
